customer-purchase-prediction/data/raw/large_purchases.csv

customer_id,item_id,date
5,bread,2024-01-01
9,cheese,2024-01-01
3,coffee,2024-01-02
7,coffee,2024-01-02
6,apples,2024-01-02
9,cheese,2024-01-02
5,coffee,2024-01-03
8,cheese,2024-01-03
4,coffee,2024-01-03
2,milk,2024-01-03
8,bread,2024-01-03
10,butter,2024-01-03
9,coffee,2024-01-04
7,butter,2024-01-04
2,bread,2024-01-04
5,bread,2024-01-05
7,coffee,2024-01-05
10,apples,2024-01-06
2,eggs,2024-01-06
5,coffee,2024-01-06
6,butter,2024-01-07
1,coffee,2024-01-08
8,coffee,2024-01-08
8,coffee,2024-01-09
3,coffee,2024-01-09
10,bread,2024-01-09
3,eggs,2024-01-09
1,coffee,2024-01-09
7,apples,2024-01-10
5,milk,2024-01-11
6,eggs,2024-01-12
1,bread,2024-01-12
6,butter,2024-01-12
6,cheese,2024-01-12
6,butter,2024-01-13
7,cheese,2024-01-13
3,eggs,2024-01-13
2,coffee,2024-01-13
3,bread,2024-01-13
2,milk,2024-01-14
1,butter,2024-01-14
10,cheese,2024-01-15
4,butter,2024-01-15
10,cheese,2024-01-15
1,butter,2024-01-15
1,bread,2024-01-16
8,apples,2024-01-16
6,milk,2024-01-16
6,coffee,2024-01-16
10,cheese,2024-01-16
2,milk,2024-01-17
5,bread,2024-01-17
1,cheese,2024-01-17
4,bread,2024-01-17
3,eggs,2024-01-17
8,bread,2024-01-17
8,coffee,2024-01-17
8,bread,2024-01-18
1,eggs,2024-01-18
4,apples,2024-01-18
4,cheese,2024-01-18
6,coffee,2024-01-19
5,coffee,2024-01-19
1,apples,2024-01-20
2,butter,2024-01-20
2,apples,2024-01-20
6,milk,2024-01-21
2,cheese,2024-01-21
8,bread,2024-01-21
4,bread,2024-01-21
1,bread,2024-01-21
5,apples,2024-01-21
4,milk,2024-01-21
7,cheese,2024-01-22
1,cheese,2024-01-22
5,eggs,2024-01-22
4,milk,2024-01-22
8,apples,2024-01-23
9,coffee,2024-01-24
6,coffee,2024-01-24
4,eggs,2024-01-24
8,butter,2024-01-25
1,cheese,2024-01-25
1,bread,2024-01-26
1,eggs,2024-01-27
5,milk,2024-01-27
2,coffee,2024-01-27
2,cheese,2024-01-27
9,apples,2024-01-27
6,milk,2024-01-28
7,cheese,2024-01-28
3,butter,2024-01-28
1,apples,2024-01-28
3,milk,2024-01-28
4,eggs,2024-01-28
1,milk,2024-01-29
6,apples,2024-01-29
6,bread,2024-01-29
2,cheese,2024-01-29
7,eggs,2024-01-30
